Sig.1	Sig.2	Sig.3	Sig.4	Sig.5	Sig.6	Sig.7	Sig.8	Sig.9	Sig.10	Sig.11	Sig.12	Sig.13	Sig.14	Sig.15	Sig.16	Sig.17	Sig.18	Sig.19	Sig.20	Sig.21	Sig.22	Sig.23	Sig.24	Sig.25	Sig.26	Sig.27	Sig.28	Sig.29	Sig.30
Sig.1	0	0.973680225298864	1.65551501423859	1.60361921751438	1.37542721476357	2.07140952719544	1.31639346688504	1.47637953611098	1.56623199310226	1.26079983438596	1.30189535209618	1.46003168293469	1.10415357725302	1.90165688791391	1.74181702559614	1.58081933880242	1.22546222046279	1.36722136385563	1.36940114871003	1.94611021070999	1.40596341873289	1.21161842250569	0.990008689474424	1.45387964131699	1.30156417889119	1.38719226429815	1.06765844264774	1.2508899258304	1.37104479090339	1.41926959070945
Sig.2	0	0	1.78398506599517	1.9060808532268	1.87878766030276	1.57938747676824	1.3813139039194	1.7231867460473	1.76244103617705	1.40978507622133	1.32357367470527	1.54366015726167	0.968407066916023	1.4339909766264	1.68537851316923	1.78381095152806	1.50669003895378	1.69090391738597	1.83762093204531	1.54162135763733	1.55164316371895	1.40476903493176	1.39653588362794	1.56474456953027	1.86132169797208	1.57156504521174	1.53951220627326	1.58209249279494	1.71221744500112	1.97870323468382
Sig.3	1.20543056450423	0.499159169913118	0	1.41051684216091	0.663112131811817	1.37886765885969	1.09869059857676	1.0518521583641	1.15656416087548	1.31173625259456	1.02653170782775	1.03901620002656	1.04700907772903	1.19398076109115	1.1646281516089	1.04059758920269	1.10543904841679	1.53357064111188	0.985481590931392	1.22680230493185	1.13755438038042	1.08520809229547	1.03481456793244	1.37321179694199	1.12995896591486	0.987623729873271	1.12682065279915	1.14525671154157	1.52754571007549	1.78640506795481
Sig.4	0.967010506161431	1.2782740974091	0	0	1.78518531736847	1.52494661531475	1.16539100186052	1.51735654004755	1.60059481304822	1.48976390921229	1.23076167933724	1.37642452996676	1.16158357347262	1.53756788218246	1.57825659366502	1.52209678501695	1.29341456949401	1.4383377752801	1.43832910153728	1.45877929125104	1.39935807030529	0.951247512899867	1.07735486386354	1.83248348264067	1.54667752812375	1.50984420555477	1.30778976828023	1.25871832909815	1.65670436176976	1.82760944486215
Sig.5	1.07269934407276	0.802382537226686	2.51562502822898	1.73159881764874	0	1.40682957950163	1.03076093326561	1.85628017354342	1.48523930594752	1.10643002593442	0.952155102282584	1.53205587009986	1.17902139614948	1.3066392717498	1.35027790881798	1.83532993566442	1.21131052298374	1.39296283587164	1.45795357680778	1.32835265424934	1.31297162976221	1.22981477166082	0.900301868281036	1.67324201928822	1.73956838215477	1.47999203364047	1.09664734489134	1.31101696901297	1.33326593239007	1.33833858144753
Sig.6	1.24403447355683	1.29476164361978	2.28361663550894	1.95516472003872	2.30900236357402	0	1.45129472080686	1.81349029471054	1.81738869813878	1.59011234467662	1.33650423178168	1.89172944714211	1.26128120178154	1.54455274638623	1.59588317494485	2.08320862304059	1.46978106348177	1.70220787337954	1.81892582525381	1.34797469571968	1.42519647239624	1.2144388213663	1.2479289565752	1.64137327014242	1.76003228418952	1.48966244077535	1.55274007995215	1.39351198830702	1.50167971500564	1.55562191735051
Sig.7	1.74698236839237	1.04813029521044	1.82791797716227	1.49938432640798	1.78983329258522	1.28715916207096	0	1.57083286006198	1.68386033611785	1.431451214271	1.06193429665315	1.469252102135	1.17631401925215	1.77410006667164	1.60184616916949	1.69379519675238	1.39796609700471	1.41187635056202	1.73124255058045	1.45050160761438	1.24220677356067	1.30759107078571	1.44959167422788	1.59678927733099	1.62273041028094	1.44319328814048	1.49247645768239	1.45294074820586	1.58620063177512	1.68414927737592
Sig.8	1.21378408349037	0.892665391623912	1.3925587257397	1.33365329239588	0.937428139631307	1.44038392341379	1.27281208363497	0	1.51600193352441	1.2703478828466	1.01467946559738	1.26820183898097	0.989926813956708	1.1324214522793	1.42233580137377	1.67012028418104	1.20828096968243	1.29094985263439	1.12715506137795	1.34731018082863	1.38524266526739	1.19346563497069	1.21570470488358	1.36801522591007	1.36199763481824	1.34076155697741	1.19482853048201	1.38441031903948	1.12554373371551	1.65591771047474
Sig.9	1.13144823721765	0.807839630040788	1.38805908588148	1.56428934142177	0.749888142853155	1.00894679600329	0.946219796965014	0	0	1.04875708418811	1.13942230812605	1.18725861401992	1.00890591337284	1.15555822145953	1.2759780084827	1.38432164081553	1.11491187953862	1.18335135667051	1.17396694372058	1.27774001261216	1.04107470414749	1.01946496697633	1.11156111884022	1.34149896410967	1.35503621986286	1.12277445520117	1.1386051859231	1.33626946971419	1.2152769045494	1.54154242115974
Sig.10	0.899380593123651	1.44057483867977	1.93051363750764	2.05040749605341	2.19096333520411	1.62493240694134	1.61882865882484	1.89328090593436	1.70068614793308	0	1.3655728500829	1.62933136243731	1.40650330561877	1.42195941636847	1.42425777871185	1.77096390471353	1.39577870555538	1.77277732994312	1.68120282427498	1.49069284897174	1.42358263623525	1.39556714846163	1.51337254646241	1.81623848354544	1.57842820292953	1.42930655212055	1.6390870379734	1.30364579699894	1.76539583790559	1.72510064656571
