SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS10a	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS21	SBS22	SBS26	SBS28	SBS30	SBS33	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS60	SBS55	SBS44	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66	SBS67	SBS68	SBS69	SBS70	SBS71	SBS72	SBS73	SBS74	SBS75	SBS76	SBS77	SBS78	SBS79	SBS80	SBS81	SBS82	SBS83
SBS1	0	0.00707106781186548	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0707106781186548	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0707106781186548	0.014142135623731	0.0707106781186548	0.0707106781186548	0	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0316227766016838	0.0316227766016838
SBS2	0.14142135623731	0	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0316227766016838	0.14142135623731	0.14142135623731	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.14142135623731	0.0316227766016838	0.14142135623731	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.00707106781186548	0.14142135623731	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.14142135623731	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.14142135623731	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.14142135623731	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.14142135623731
SBS3	0.447213595499958	0.447213595499958	0	0.346410161513775	0.346410161513775	0.346410161513775	0.447213595499958	0.447213595499958	0.346410161513775	0.346410161513775	0.346410161513775	0.447213595499958	0.447213595499958	0.346410161513775	0.447213595499958	0.346410161513775	0.346410161513775	0.346410161513775	0.346410161513775	0.447213595499958	0.346410161513775	0.447213595499958	0.346410161513775	0.346410161513775	0.346410161513775	0.346410161513775	0.346410161513775	0.447213595499958	0.346410161513775	0.447213595499958	0.346410161513775	0.447213595499958	0.346410161513775	0.346410161513775	0.173205080756888	0.447213595499958	0.346410161513775	0.447213595499958	0.447213595499958	0.346410161513775	0.447213595499958	0.346410161513775	0.346410161513775	0.447213595499958	0.346410161513775	0.346410161513775	0.346410161513775	0.346410161513775	0.346410161513775	0.346410161513775	0.447213595499958	0.346410161513775	0.346410161513775	0.346410161513775	0.346410161513775	0.346410161513775	0.346410161513775	0.346410161513775	0.346410161513775	0.447213595499958
SBS4	0.14142135623731	0.0707106781186548	0.0316227766016838	0	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.0316227766016838	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.0316227766016838	0.14142135623731	0.14142135623731	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.14142135623731	0	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.0316227766016838	0.14142135623731	0.14142135623731	0.0316227766016838	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.0316227766016838	0.14142135623731	0.0316227766016838	0.14142135623731
SBS5	0	0	0.0316227766016838	0.0316227766016838	0	0.0316227766016838	0	0	0.0316227766016838	0.0707106781186548	0.0316227766016838	0	0	0.0707106781186548	0	0.0316227766016838	0	0.0316227766016838	0.00707106781186548	0	0.014142135623731	0	0.0316227766016838	0	0.014142135623731	0.0316227766016838	0.0316227766016838	0	0.00316227766016838	0	0.0707106781186548	0	0.0316227766016838	0.0707106781186548	0	0	0.0316227766016838	0	0	0.0316227766016838	0.0707106781186548	0.0014142135623731	0.00316227766016838	0	0.0707106781186548	0	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0707106781186548	0	0.014142135623731	0.0707106781186548	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0707106781186548	0
SBS6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SBS7a	0	0	0.0316227766016838	0	0.014142135623731	0	0	0	0	0.00707106781186548	0.00707106781186548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014142135623731	0	0.014142135623731	0.014142135623731	0	0	0	0	0	0	0.00707106781186548	0	0	0	0.00316227766016838	0	0.014142135623731	0.00316227766016838	0.00707106781186548	0.00316227766016838	0	0	0.0014142135623731	0	0	0	0.014142135623731	0	0.014142135623731	0
SBS7b	0.00707106781186548	0.0014142135623731	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.014142135623731	0	0	0.014142135623731	0.0316227766016838	0.014142135623731	0.00316227766016838	0.00707106781186548	0.014142135623731	0.0014142135623731	0.0316227766016838	0.014142135623731	0.014142135623731	0.014142135623731	0.00707106781186548	0.014142135623731	0.00707106781186548	0.014142135623731	0.014142135623731	0.014142135623731	0.014142135623731	0.014142135623731	0	0.014142135623731	0.00707106781186548	0.0316227766016838	0.00707106781186548	0.0316227766016838	0.0316227766016838	0	0.00707106781186548	0.014142135623731	0.00707106781186548	0.00707106781186548	0.014142135623731	0.0316227766016838	0.00707106781186548	0.00707106781186548	0.00707106781186548	0.014142135623731	0.014142135623731	0.0316227766016838	0.014142135623731	0.0316227766016838	0.014142135623731	0.0014142135623731	0.014142135623731	0.014142135623731	0.014142135623731	0.014142135623731	0.014142135623731	0.0316227766016838	0.014142135623731	0.0316227766016838	0
SBS7c	0.0316227766016838	0.00316227766016838	0.0316227766016838	0.0316227766016838	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0707106781186548	0	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0707106781186548	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.014142135623731	0.0316227766016838	0.0316227766016838	0	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0316227766016838	0.0316227766016838
SBS8	0.14142135623731	0.14142135623731	0.0316227766016838	0.14142135623731	0.0707106781186548	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0	0.0707106781186548	0.14142135623731	0.14142135623731	0.0707106781186548	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.0707106781186548	0.14142135623731	0.0316227766016838	0.0316227766016838	0	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.0707106781186548	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.14142135623731	0.0707106781186548	0.0316227766016838	0.0707106781186548	0.0707106781186548	0.14142135623731	0.14142135623731	0.0707106781186548	0.14142135623731	0.14142135623731	0.14142135623731	0.0316227766016838	0.14142135623731	0.0707106781186548	0.14142135623731
