Signature	M80	Etiology
Sig.1	8.11039993368935	Aging
Sig.2	2	APOBEC
Sig.3	22.0463527612832	HRD
Sig.4	14.7781121978613	Smoking
Sig.5	89.4023689866016	 
Sig.6	8.96337814067613	MMR
Sig.7	2.98364939528254	UV
Sig.8	14.7781121978613	 
Sig.9	16.4872127070013	Pol-eta
Sig.10	2.44280551632034	POLE
Sig.11	4.9192062223139	TMZ
Sig.12	8.96337814067613	 
Sig.13	2	APOBEC
Sig.14	6.00833204789287	MMR
Sig.15	7.33859333523849	MMR
Sig.16	26.9274760700034	 
Sig.17	3.29744254140026	 
Sig.18	4.9192062223139	 
Sig.19	29.7594634497457	 
Sig.20	5.43656365691809	MMR
Sig.21	3.64423760078102	MMR
Sig.22	2	AA
Sig.23	2.44280551632034	 
Sig.24	6.6402338454731	Aflatoxin
Sig.25	32.8892935421941	 
Sig.26	22.0463527612832	MMR
Sig.27	2	 
Sig.28	2.69971761515201	 
Sig.29	18.0500269988682	Tobacco
Sig.30	13.3717888845585	 
