Breast	Lung_AdenoCA	Skin_Melanoma	Panc_AdenoCA
SBS1	0.0580732384998637	0.0119766618547035	0.00230476094767638	0.181083435773192
SBS2	0.164876030058678	0.0515330795846208	0.000567320694358946	0.0316216925849455
SBS3	0.260440138324286	0.0172205377461735	0	0.110031149673585
SBS4	0	0.539448315726204	0	0
SBS5	0.279843411946272	0.213442391290619	0.0376096657057033	0.289305278735872
SBS6	0	0	0	0.0197728818818699
SBS7a	0	0	0.691909054763361	0
SBS7b	0	0	0.186761461037255	0
SBS7c	0	0	0.0405780334516242	0
SBS7d	0	0	0.0282746990564209	0
SBS8	0.00399387952643529	0	0	0.00124001957297497
SBS9	0.00758329050013559	0.000291986855390724	0	0
SBS10a	0	0	0	0
SBS10b	0	0	0	0
SBS11	0	0	0	0
SBS12	0	0	0	0
SBS13	0.170183607608759	0.0495850146104873	0.000360227189001041	0.0220995596080631
SBS14	0	0	0	0
SBS15	0	0	0	0
SBS16	0	0	0	0
SBS17a	0.00212329494731022	0.00352018758483778	7.60717975856528e-05	0.00743056964518015
SBS17b	0.00440824535207569	0.00755228087798144	0.000425325506023905	0.0183508575111291
SBS18	0.0398523590809788	0.0148853858721454	0	0.0494814355106279
SBS19	0	0	0	0
SBS20	0	0	0	0.0135662199095347
SBS21	0	0	0	0
SBS22	0	0	0	0
SBS23	0	0	0	0
SBS24	0	0	0	0
SBS25	0	0	0	0
SBS26	0	0	0	0.0361431691510819
SBS27	0	0	0	0
SBS28	0	0.00194212122135204	0	0.00277900440391937
SBS29	0	0	0	0
SBS30	0	0	0	0.00419148098199048
SBS31	0	0	0	0
SBS32	0	0	0	0
SBS33	0	0	0	0
SBS34	0	0	0	0
SBS35	0	0	0	0
SBS36	0	0	0	0
SBS37	0.000547649100766775	0	0	0
SBS38	0	0	0.00147572686726354	0
SBS39	0	0	0	0
SBS40	0.00368508461178607	0.0886020367754844	0.00962811534431688	0.212754657532612
SBS41	0.00438977044265223	0	0	0
SBS42	0	0	0	0
SBS43	0	0	0	0
SBS44	0	0	0	0
SBS45	0	0	0	0
SBS46	0	0	0	0
SBS47	0	0	0	0
SBS48	0	0	0	0
SBS49	0	0	0	0
SBS50	0	0	0	0
SBS51	0	0	0	0.000148587523421929
SBS52	0	0	0	0
SBS53	0	0	0	0
SBS54	0	0	0	0
SBS55	0	0	0	0
SBS56	0	0	0	0
SBS57	0	0	0	0
SBS58	0	0	2.95376394096135e-05	0
SBS59	0	0	0	0
SBS60	0	0	0	0
