"Mutation.Signature","Name","Description","URL"
"SBS1","SBS1 (Age)","Number of mutations corellated with age; associated with endogenous process initiated by deamination of 5-methylcytosine to thymine generating T>C substitutions; closely correlated with SBS5 in many tumor types","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS1.tt"
"SBS2","SBS2 (APOBEC)","Attributed to activity of AID/APOBEC family of cytidine deaminases; usually found with SBS13; commonly found in some cancers with local hypermutation (kataegis)","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS2.tt"
"SBS3","SBS3 (HRD)","Attributed to homologous recombination defects (HRD) in DNA damage response, most often found with germline and somatic BRCA mutations in breast, pancreatic, ovarian cancers, and in pancreatic tumors responsive to platinum therapy","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS3.tt"
"SBS4","SBS4 (Smoking)","Associated with tobacco smoking likely due to direct DNA damage by tobacco smoke mutagens; frequently found in lung and head & nack cancers","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS4.tt"
"SBS5","SBS5 (Unknown)","Unknown etiology but is clock-like with the number of mutations in most cancers and normal cells correlated with the age","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS5.tt"
"SBS6","SBS6 (MMR/MSI)","Associated with defective DNA mismatch repair (MMR) and is found in microsatellite unstable (MSI) tumors; one of 7 signatures associated with MMR/MSI along with SBS14, SBS15, SBS20, SBS21, SBS26, and SBS44","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS6.tt"
"SBS7a","SBS7a (UV)","Attributed to ultraviolet light (UV) exposure and found in cancers of the skin; one of 4 signatures associated with UV exposure (SBS7b, SBS7c, and SBS7d)","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS7a.tt"
"SBS7b","SBS7b (UV)","Attributed to ultraviolet light (UV) exposure and found in cancers of the skin; one of 4 signatures associated with UV exposure (SBS7a, SBS7c, and SBS7d)","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS7b.tt"
"SBS7c","SBS7c (UV)","Attributed to ultraviolet light (UV) exposure and found in cancers of the skin; one of 4 signatures associated with UV exposure (SBS7a, SBS7b, and SBS7d)","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS7c.tt"
"SBS7d","SBS7d (UV)","Attributed to ultraviolet light (UV) exposure and found in cancers of the skin; one of 4 signatures associated with UV exposure (SBS7a, SBS7b, and SBS7c)","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS7d.tt"
"SBS8","SBS8 (Unknown)","Unknown etiology","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS8.tt"
"SBS9","SBS9 (POL-eta)","May be due in part to mutations induced during replication by polymerase eta as part of somatic hypermutation in lymphoid cells; CLLs possessing immunoglobulin gene (IGHV) hypermutation have elevated levels than those without","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS9.tt"
"SBS10a","SBS10a (POLE)","Attributed to polymerase epsilon exonuclease domain mutations; usually found in hypermutated samples (>100 per Mb); commonly found with SBS10b and SBS28","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS10a.tt"
"SBS10b","SBS10b (POLE)","Attributed to polymerase epsilon exonuclease domain mutations; usually found in hypermutated samples (>100 per Mb); commonly found with SBS10a and SBS28","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS10b.tt"
"SBS11","SBS11 (TMZ)","Exhibits a mutational pattern resembling that of alkylating agents and associated with patient histories of temozolomide (TMZ); usually generates large number of mutations (>10 per Mb)","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS11.tt"
"SBS12","SBS12 (Unknown)","Etiology unknown; usually contributes a small percentage (<20%) of mutations in liver cancer","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS12.tt"
"SBS13","SBS13 (APOBEC)","Attributed to activity of the AID/APOBEC family of cytidine deaminases; usually found with SBS2 and in samples with local hypermutation (kataegis)","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS13.tt"
"SBS14","SBS14 (MMR/MSI)","Associated with concurrent polymerase epsilon mutation, defecticve DNA mismatch repair (MMR), and microsatellite instability (MSI); present in very high numbers in all samples where it has been observed; one of 7 signatures associated with MMR/MSI (SBS6, SBS15, SBS20, SBS21, SBS26, and SBS44)","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS14.tt"
"SBS15","SBS15 (MMR/MSI)","Associated with defecticve DNA mismatch repair (MMR), and microsatellite instability (MSI); one of 7 signatures associated with MMR/MSI (SBS6, SBS14, SBS20, SBS21, SBS26, and SBS44)","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS15.tt"
"SBS16","SBS16 (Unknown)","Unknown etiology; lower levels of nucleotide excision repair and elevated levels of DNA damage on untranscribed strands may contribute","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS16.tt"
"SBS17a","SBS17a (Unknown)","Unknown etiology; commonly found with SBS17b","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS17a.tt"
"SBS17b","SBS17b (Unknown)","Unknown etiology but has been linked to fluorouracil (5FU) chemotherapy treatment and reactive oxygen species damage; commonly found with SBS17a","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS17b.tt"
"SBS18","SBS18 (ROS)","Possibly linked to damage by reactive oxygen species (ROS); similar in profile to SBS36 associated with defective base excision repair due to MUTYH mutations","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS18.tt"
"SBS19","SBS19 (Unknown)","Unknown etiology","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS19.tt"
"SBS20","SBS20 (MMR/MSI)","Associated with concurrent POLD1 mutations and defective DNA mismatch repair (MMR)/microsatellite instability (MSI); one of 7 MMR/MSI signatures: SBS6, SBS14, SBS15, SBS21, SBS26, and SBS44 ","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS20.tt"
"SBS21","SBS21 (MMR/MSI)","DNA mismatch repair (MMR) and microsatellite instability (MSI); one of 7 MMR/MSI signatures: SBS6, SBS14, SBS15, SBS20, SBS26, and SBS44","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS21.tt"
"SBS22","SBS22 (Arisolochic acid)","Associated with aristolochic acid exposure","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS22.tt"
"SBS23","SBS23 (Unknown)","Unknown etiology","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS23.tt"
"SBS24","SBS24 (Aflatoxin)","Associated with aflatoxin exposure","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS24.tt"
"SBS25","SBS25 (Unknown)","Unknown etiology but found in some Hodgkin's cell line samples derived from patients exposed to chemotherapy","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS25.tt"
"SBS26","SBS26 (MMR/MSI)","One of seven signatures with defective DNA mismatch repair (MMR) and microsatellite instability (MSI)","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS26.tt"
"SBS27","SBS27 (Sequencing)","Possible sequencing artefacts","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS27.tt"
"SBS28","SBS28 (Unknown)","Uknown etiology; found in most samples with hypermutator signatures SBS10a/SBS10b but contributes much smaller number of mutations","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS28.tt"
"SBS29","SBS29 (Tobacco chewing)","Associated with tobacco chewing habit","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS29.tt"
"SBS30","SBS30 (BER)","Attributed to deficiency in base excision repair (BER) due to inactivating mutations in NTHL1","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS30.tt"
"SBS31","SBS31 (Platinum)","Associated with prior chemotherapy treatment with platinum drugs; exhibits mutation patters similar to SBS35","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS31.tt"
"SBS32","SBS32 (AZA)","Associated with prior treatment with azathioprine (AZA) to induce immunosuppression","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS32.tt"
"SBS33","SBS33 (Unknown)","Unknown etiology","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS33.tt"
"SBS34","SBS34 (Unknown)","Unknown etiology","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS34.tt"
"SBS35","SBS35 (Platinum)","Associated with prior chemotherapy treatment with platinum drugs; exhibits mutation patters similar to SBS31","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS35.tt"
"SBS36","SBS36 (BER)","Associated with defective base excision repair (BER), including DNA damage due to reactive oxygen species and biallelic germline/somatic MUTYH mutations; similar to SBS18","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS36.tt"
"SBS37","SBS37 (Unknown)","Unknown etiology","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS37.tt"
"SBS38","SBS38 (Unknown)","Unknown etiology; found only in UV-associated melanoma, suggesting indirect damage from UV light","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS38.tt"
"SBS39","SBS39 (Unknown)","Unknown etiology","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS39.tt"
"SBS40","SBS40 (Unknown)","Unknown etiology; number of mutations correlated with patient's age in some types of cancer","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS40.tt"
"SBS41","SBS41 (Unknown)","Unknown etiology","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS41.tt"
"SBS42","SBS42 (Haloalkane)","Associated with occupational exposure to haloalkanes","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS42.tt"
"SBS43","SBS43 (Sequencing)","Possible sequencing artefacts","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS43.tt"
"SBS44","SBS44 (MMR/MSI)","Associated with defective DNA mismatch repair (MMR) and is found in microsatellite unstable (MSI) tumors; one of 7 signatures associated with MMR/MSI along with SBS6, SBS14, SBS15, SBS20, SBS21, and SBS26","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS44.tt"
"SBS45","SBS45 (Sequencing)","Possible artefact due to 8-oxo-guanine introduced during sequencing","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS45.tt"
"SBS46","SBS46 (Sequencing)","Possible sequencing artefact; commonly found in colorectal cancers from early releases (prior to 2013) of TCGA","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS46.tt"
"SBS47","SBS47 (Sequencing)","Possible sequencing artefact; found in cancer samples subsequently blacklisted for poor quality of sequencing data","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS47.tt"
"SBS48","SBS48 (Sequencing)","Possible sequencing artefact; found in cancer samples subsequently blacklisted for poor quality of sequencing data","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS48.tt"
"SBS49","SBS49 (Sequencing)","Possible sequencing artefact","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS49.tt"
"SBS50","SBS50 (Sequencing)","Possible sequencing artefact; found in cancer samples subsequently blacklisted for poor quality of sequencing data","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS50.tt"
"SBS51","SBS51 (Sequencing)","Possible sequencing artefact","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS51.tt"
"SBS52","SBS52 (Sequencing)","Possible sequencing artefact","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS52.tt"
"SBS53","SBS53 (Sequencing)","Possible sequencing artefact; found in cancer samples subsequently blacklisted for poor quality of sequencing data","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS53.tt"
"SBS54","SBS54 (Sequencing)","Possible sequencing artefact; possible contamination with germline variants","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS54.tt"
"SBS55","SBS55 (Sequencing)","Possible sequencing artefact","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS55.tt"
"SBS56","SBS56 (Sequencing)","Possible sequencing artefact","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS56.tt"
"SBS57","SBS57 (Sequencing)","Possible sequencing artefact","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS57.tt"
"SBS58","SBS58 (Sequencing)","Possible sequencing artefact","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS58.tt"
"SBS59","SBS59 (Sequencing)","Possible sequencing artefact","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS59.tt"
"SBS60","SBS60 (Sequencing)","Possible sequencing artefact","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS60.tt"
"SBS84","SBS84 (AID)","Attributed to activity of activation-induced cytidine deaminase (AID); found in clustered mutations in immunoglobulin gene and other regions in lymphoid cancers","https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS84.tt"
