M	S1	S2	S3	S4	S6	S7	S10	S11	S12	S17	S22
1	0.5	0.8	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
2	0.5	0.7	0.5 	0.5	0.45	0.5	0.5	0.5	0.5	0.5	0.5
3	0.5	0.6	0.5 	0.5	0.44	0.5	0.5	0.5	0.5	0.5	0.5
4	0.5	0.7	0.4 	0.5	0.43	0.45	0.5	0.45	0.5	0.5	0.5
5	0.5	0.7	0.4	0.5	0.42	0.4	0.5	0.4	0.5	0.5	0.5
6	0.5	0.7	0.3 	0.5	0.3	0.35	0.5	0.4	0.5	0.5	0.5
7	0.5	0.7	0.3 	0.5	0.3	0.34	0.5	0.35	0.5	0.5	0.5
8	0.5	0.7	0.2 	0.5	0.3	0.32	0.5	0.3	0.5	0.5	0.5
9	0.5	0.7	0.2 	0.5	0.3	0.2	0.5	0.15	0.5	0.5	0.5
10	0.5	0.7	0.2 	0.5	0.3	0.2	0.5	0.1	0.5	0.5	0.5
20	0.3	0.7	0.2 	0.5	0.2	0.2	0.5	0.1	0.4	0.4	0.4
30	0.3	0.7	0.2 	0.4	0.2	0.2	0.2	0.1	0.4	0.4	0.4
40	0.3	0.7	0.2 	0.3	0.2	0.2	0.2	0.1	0.4	0.4	0.4
50	0.2	0.6	0.2 	0.2	0.2	0.2	0.2	0.1	0.3	0.3	0.3
60	0.2	0.6	0.2 	0.2	0.2	0.2	0.2	0.1	0.3	0.3	0.3
70	0.2	0.6	0.2 	0.2	0.2	0.2	0.2	0.1	0.3	0.3	0.3
80	0.2	0.45	0.2 	0.15	0.25	0.2	0.2	0.1	0.3	0.3	0.3
90	0.2	0.5	0.2 	0.15	0.15	0.2	0.2	0.1	0.3	0.3	0.3
100	0.2	0.5	0.2	0.15	0.15	0.2	0.2	0.1	0.2	0.2	0.2
200	0.2	0.5	0.2	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1
300	0.2	0.4	0.2	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1
400	0.2	0.4	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
500	0.2	0.4	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
1000	0.2	0.3	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
